Timestamp	Name of the training workshop	Date of the training workshop	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program	What best describe your GIS experience (consider all types of software tools)?	How did you find out this program
8/20/2020 21:58:25	Cartography Workshop	4/23/2021	Research fellow	FAS Arts and Humanities Division	Hutchins Center	Never used any GIS	From previous attendees
8/22/2020 0:44:04	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Design Engineering	Never used any GIS	From CGA website
8/22/2020 0:45:52	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Design Engineering	Never used any GIS	From CGA website
8/24/2020 14:40:42	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability	Used it to do simple tasks occassionally	From other Harvard people
8/27/2020 17:08:54	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health	Never used any GIS	From other Harvard people
8/29/2020 20:32:47	Basic Introduction to GIS	9/4/2020	Research fellow	Harvard Kennedy School of Government (HKS)	Belfer Center	Tried some before, don't remember much	From CGA website
9/1/2020 17:27:03	Basic Introduction to GIS	9/4/2020	Staff	FAS other units	Center for African Studies	Used it to do simple tasks occassionally	From CGA website
9/1/2020 18:17:10	Basic Introduction to GIS	9/4/2020	Research fellow	Harvard School of Public Health (HSPH)	Zhu Center	Never used any GIS	From CGA website
9/2/2020 11:49:11	Basic Introduction to GIS	9/4/2020	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Ash Center	Tried some before, don't remember much	From Internet search
9/3/2020 14:57:04	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design	Tried some before, don't remember much	From CGA website
9/3/2020 15:15:43	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	urban planning	Tried some before, don't remember much	From previous attendees
9/3/2020 15:17:21	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning	Never used any GIS	From other Harvard people
9/3/2020 15:22:01	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP	Never used any GIS	From other Harvard people
9/3/2020 15:23:49	Basic Introduction to GIS	9/4/2020	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP	Tried some before, don't remember much	From other Harvard people
9/4/2020 14:58:44	GIS for Humanities and Social Sciences	12/11/2020	Faculty	Harvard School of Dental Medicine (HSDM)	OHPE	Never used any GIS	From CGA website
9/9/2020 10:46:53	GIS for Humanities and Social Sciences	12/11/2020	Staff	FAS Social Science Division	Davis Center for Russian and Eurasian Studies	Used it to do simple tasks occassionally	From other Harvard people
9/9/2020 15:17:31	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Committee on the Study of Religion	Never used any GIS	From CGA website
10/7/2020 16:58:10	GIS for Humanities and Social Sciences	12/11/2020	Post doctoral research associate	FAS Arts and Humanities Division	Mahindra Humanities Center	Used it to do simple tasks occassionally	From CGA website
10/15/2020 0:29:25	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Davic Center	Tried some before, don't remember much	From previous attendees
10/16/2020 12:49:24	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy (MPP)	Never used any GIS	Other
10/28/2020 0:27:05	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art and Architecture	Never used any GIS	From CGA website
10/29/2020 11:16:09	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences	Tried some before, don't remember much	Other
10/29/2020 15:54:51	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health & Population	Never used any GIS	From CGA website
11/2/2020 15:03:39	Cartography Workshop	4/23/2021	Staff	Harvard School of Public Health (HSPH)	Environmental Health	Used it regularly for work or study	From CGA website
11/5/2020 10:43:07	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Masters	FAS Division of Continuing Education (DCE)	HES, ALM in Sustainability	Tried some before, don't remember much	From other Harvard people
11/6/2020 7:12:44	Basic Introduction to GIS	1/29/2021	Research fellow	Harvard School of Public Health (HSPH)	Takemi Fellowship, Global Health and Population	Never used any GIS	From Harvard Gazette Calendar
11/12/2020 12:19:30	Basic Introduction to GIS	1/29/2021	Undergraduate student	Harvard College	Classics	Never used any GIS	Other
11/12/2020 12:22:01	Basic Introduction to GIS	1/29/2021	Undergraduate student	Harvard College	Classics	Never used any GIS	From other Harvard people
11/20/2020 13:20:48	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Department of Government	Never used any GIS	From CGA website
11/24/2020 10:47:49	GIS for Humanities and Social Sciences	12/11/2020	Undergraduate student	Harvard College	Classics	Never used any GIS	From Internet search
11/28/2020 13:52:35	GIS for Humanities and Social Sciences	12/11/2020	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard Extention School	Never used any GIS	Other
11/30/2020 20:39:31	Basic Introduction to GIS	1/29/2021	Staff	FAS other units	Weatherhead Center for International Affairs	Used it to do simple tasks occassionally	From CGA newsletter
12/1/2020 11:37:04	GIS for Humanities and Social Sciences	12/11/2020	Post doctoral research associate	FAS other units	CGA	Used it regularly for work or study	From CGA website
12/2/2020 14:02:22	Basic Introduction to GIS	1/29/2021	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Library Information and Technical Services	Used it to do simple tasks occassionally	From other Harvard people
12/9/2020 14:02:52	Basic Introduction to GIS	12/11/2020	Graduate student: Doctorate	Harvard Business School (HBS)	Strategy Unit	Never used any GIS	From other Harvard people
12/11/2020 10:22:04	Cartography Workshop	4/23/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History	Tried some before, don't remember much	From CGA website
12/11/2020 10:49:39	Basic Introduction to GIS	1/29/2021	Staff	FAS Social Science Division	Davis Center for Russian and Eurasian Studies	Tried some before, don't remember much	From CGA website
12/11/2020 15:06:41	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Art and Architecture	Never used any GIS	From other Harvard people
12/16/2020 13:38:59	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Environmental Health	Never used any GIS	From other Harvard people
12/16/2020 18:16:59	Basic Introduction to GIS	1/29/2021	Research assistant	Harvard Medical School (HMS)	Program in Global Surgery and Social Change	Tried some before, don't remember much	From CGA website
12/23/2020 10:26:14	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health & Population	Never used any GIS	From other Harvard people
12/26/2020 0:55:03	Basic Introduction to GIS	1/29/2021	Undergraduate student	Harvard College	Organismic and Evolutionary Biology	Tried some before, don't remember much	From CGA website
1/5/2021 13:43:43	Cartography Workshop	4/24/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	EH	Tried some before, don't remember much	From other Harvard people
1/5/2021 13:45:08	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	EH	Tried some before, don't remember much	From previous attendees
1/6/2021 11:10:42	Basic Introduction to GIS	1/29/2021	Staff	FAS Social Science Division	Davis Center	Tried some before, don't remember much	From CGA website
1/7/2021 14:43:37	Basic Introduction to GIS	1/29/2021	Staff	FAS other units	EKL Music Library	Tried some before, don't remember much	From CGA website
1/9/2021 12:24:15	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability	Used it regularly for work or study	From CGA website
1/9/2021 12:31:20	Cartography Workshop	4/23/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability	Used it regularly for work or study	From CGA website
1/9/2021 14:44:07	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	REECA/Davis Center	Tried some before, don't remember much	From CGA website
1/9/2021 18:25:46	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	MPH, Health Policy	Never used any GIS	From previous attendees
1/11/2021 20:06:04	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	PHS/GHP	Never used any GIS	From Internet search
1/12/2021 0:32:22	Basic Introduction to GIS	1/29/2021	Undergraduate student	Harvard College	Social Studies	Never used any GIS	From Harvard Gazette Calendar
1/19/2021 13:11:23	Basic Introduction to GIS	1/29/2021	Staff	FAS Social Science Division	Weatherhead Center	Never used any GIS	From other Harvard people
1/20/2021 22:46:04	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population	Never used any GIS	From Internet search
1/21/2021 11:46:12	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HSPH/GHP	Never used any GIS	From CGA website
1/22/2021 12:52:48	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	Harvard School of Public Health (HSPH)	Biostatistics	Never used any GIS	From other Harvard people
1/24/2021 21:58:26	Basic Introduction to GIS	1/29/2021	Undergraduate student	Harvard College	Statistics and Mathematics	Never used any GIS	From Internet search
1/25/2021 12:34:35	Basic Introduction to GIS	1/29/2021	Staff	Harvard Medical School (HMS)	Heather Care Policy	Never used any GIS	From other Harvard people
1/25/2021 14:41:29	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	FAS Social Science Division	Government	Tried some before, don't remember much	From CGA website
1/25/2021 16:27:23	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government, International Relations	Never used any GIS	Other
1/26/2021 18:30:50	Basic Introduction to GIS	1/29/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science	Tried some before, don't remember much	From other Harvard people
1/29/2021 0:57:59	Basic Introduction to GIS	1/29/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard Extension School, Sustainability	Never used any GIS	From other Harvard people
2/1/2021 17:03:34	Basic Introduction to GIS	4/23/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture	Used it to do simple tasks occassionally	Other
3/8/2021 16:03:06	Cartography Workshop	4/23/2021	Staff	Harvard Business School (HBS)	Department of Research and Faculty Development	Tried some before, don't remember much	From other Harvard people
3/9/2021 12:22:51	Cartography Workshop	4/23/2021	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Administration in International Development	Tried some before, don't remember much	From other Harvard people
3/11/2021 10:43:32	Cartography Workshop	4/23/2021	Staff	FAS other units	Harvard-Yenching Institute	Tried some before, don't remember much	From CGA website
3/18/2021 20:38:17	Cartography Workshop	4/23/2021	Undergraduate student	Harvard College	Initiative for the Science of the Human Past (SoHP)	Used it to do simple tasks occassionally	From CGA website
3/24/2021 1:31:48	Cartography Workshop	4/23/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science	Tried some before, don't remember much	From other Harvard people
4/2/2021 20:22:29	Cartography Workshop	4/23/2021	Faculty	FAS Social Science Division	History of Science	Never used any GIS	From other Harvard people
4/7/2021 22:26:19	Basic Introduction to GIS	4/23/2021	Undergraduate student	Harvard College	Government	Never used any GIS	From other Harvard people
4/26/2021 18:45:24	Basic Introduction to GIS	9/3/2021	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPA/ID	Tried some before, don't remember much	From other Harvard people
5/14/2021 9:53:22	Basic Introduction to GIS	9/3/2021	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Weissman Preservation Center	Used it to do simple tasks occassionally	From CGA website
5/27/2021 19:37:48	Basic Introduction to GIS	9/3/2021	Staff	FAS other units	Arboretum	Never used any GIS	From CGA website
6/1/2021 14:08:25	Basic Introduction to GIS	9/3/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Global Development Practice	Never used any GIS	From other Harvard people
6/1/2021 14:13:21	GIS for Humanities and Social Sciences	12/10/2021	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Global Development Practice	Other	From other Harvard people
6/10/2021 5:24:58	Basic Introduction to GIS	9/3/2021	Staff	Harvard School of Engineering and Applied Sciences (SEAS)	Center for Research on Computation and Society	Never used any GIS	From CGA website
6/13/2021 22:15:19	Basic Introduction to GIS	9/3/2021	Staff	FAS other units	Houghton Library	Tried some before, don't remember much	From CGA website
6/24/2021 16:23:17	Basic Introduction to GIS	8/23/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Design	Tried some before, don't remember much	From CGA website
6/24/2021 16:25:12	GIS for Humanities and Social Sciences	12/10/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Design	Tried some before, don't remember much	From CGA newsletter
6/29/2021 7:23:41	Basic Introduction to GIS	9/3/2021	Faculty	Harvard Medical School (HMS)	Psychiatry	Never used any GIS	From Internet search
6/29/2021 10:36:23	GIS for Humanities and Social Sciences	12/10/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History	Tried some before, don't remember much	From previous attendees
7/7/2021 9:32:48	Basic Introduction to GIS	9/3/2021	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government	Tried some before, don't remember much	From other Harvard people
7/22/2021 11:13:03	GIS for Humanities and Social Sciences	12/10/2021	Staff	FAS Social Science Division	Davis Center	Used it to do simple tasks occassionally	From CGA website
7/24/2021 5:52:15	Basic Introduction to GIS	9/3/2021	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP	Never used any GIS	From CGA website
7/26/2021 19:24:56	Basic Introduction to GIS	9/3/2021	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPA/ID	Tried some before, don't remember much	From other Harvard people
7/28/2021 16:45:43	Basic Introduction to GIS	9/3/2021	Post doctoral research associate	FAS Social Science Division	Center for History and Economics	Tried some before, don't remember much	From CGA website
8/4/2021 10:41:47	Basic Introduction to GIS	9/3/2021	Research fellow	Harvard Medical School (HMS)	BWH, Sleep Epidemiology 	Never used any GIS	From CGA website
8/5/2021 12:05:59	GIS for Humanities and Social Sciences	12/10/2021	Staff	Harvard Medical School (HMS)	DFCI Pediatric Oncology	Never used any GIS	From CGA website
8/11/2021 12:31:52	Basic Introduction to GIS	9/3/2021	Research fellow	Harvard Medical School (HMS)	Rural Health Program, Department of Medicine, Mass General Hospital	Tried some before, don't remember much	From other Harvard people
